Metro Name,Income
"Abilene, TX (Metropolitan Statistical Area)",42567
"Akron, OH (Metropolitan Statistical Area)",49765
"Albany, GA (Metropolitan Statistical Area)",41963
"Albany-Lebanon, OR (Metropolitan Statistical Area)",41050
"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",53154
"Albuquerque, NM (Metropolitan Statistical Area)",40411
"Alexandria, LA (Metropolitan Statistical Area)",45690
"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",48383
"Altoona, PA (Metropolitan Statistical Area)",46051
"Amarillo, TX (Metropolitan Statistical Area)",44920
"Ames, IA (Metropolitan Statistical Area)",42650
"Anchorage, AK (Metropolitan Statistical Area)",51140
"Ann Arbor, MI (Metropolitan Statistical Area)",52968
"Anniston-Oxford, AL (Metropolitan Statistical Area)",40026
"Appleton, WI (Metropolitan Statistical Area)",51744
"Asheville, NC (Metropolitan Statistical Area)",44384
"Athens-Clarke County, GA (Metropolitan Statistical Area)",40549
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",49320
"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",43357
"Auburn-Opelika, AL (Metropolitan Statistical Area)",41036
"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",43406
"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",52470
"Bakersfield, CA (Metropolitan Statistical Area)",38047
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",52771
"Bangor, ME (Metropolitan Statistical Area)",39435
"Barnstable Town, MA (Metropolitan Statistical Area)",64211
"Baton Rouge, LA (Metropolitan Statistical Area)",47065
"Battle Creek, MI (Metropolitan Statistical Area)",41213
"Bay City, MI (Metropolitan Statistical Area)",44449
"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",45314
"Beckley, WV (Metropolitan Statistical Area)",45991
"Bellingham, WA (Metropolitan Statistical Area)",44931
"Bend, OR (Metropolitan Statistical Area)",50289
"Billings, MT (Metropolitan Statistical Area)",48408
"Binghamton, NY (Metropolitan Statistical Area)",42610
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",52015
"Bismarck, ND (Metropolitan Statistical Area)",55698
"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",39434
"Bloomington, IL (Metropolitan Statistical Area)",48655
"Bloomington, IN (Metropolitan Statistical Area)",41182
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",44401
"Boise City, ID (Metropolitan Statistical Area)",44450
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",63550
"Boulder, CO (Metropolitan Statistical Area)",60578
"Bowling Green, KY (Metropolitan Statistical Area)",40007
"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",46819
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",89978
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",31185
"Brunswick, GA (Metropolitan Statistical Area)",43031
"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",48914
"Burlington, NC (Metropolitan Statistical Area)",40654
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",50167
"California-Lexington Park, MD (Metropolitan Statistical Area)",52350
"Canton-Massillon, OH (Metropolitan Statistical Area)",46711
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",47993
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",48267
"Carbondale-Marion, IL (Metropolitan Statistical Area)",44995
"Carson City, NV (Metropolitan Statistical Area)",47525
"Casper, WY (Metropolitan Statistical Area)",61905
"Cedar Rapids, IA (Metropolitan Statistical Area)",52990
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",44321
"Champaign-Urbana, IL (Metropolitan Statistical Area)",44541
"Charleston, WV (Metropolitan Statistical Area)",45566
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",48178
